"","grant_id","start_date","end_date","recipient_id","recipient_name","recipient_country","Africa","Asia","World","SouthAmerica","NorthAmerica","Europe","Oceania","duration_days","duration_years","amount"
"1",46194,2011-10-11,2014-09-30,129342,"Inventox Inc.","United States of America",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1085,2.97260273972603,804741
"2",46235,2011-09-14,2016-09-30,129465,"International Institute of Tropical Agriculture","United Kingdom of Great Britain and Northern Ireland",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1843,5.04931506849315,12208414
"3",46237,2012-10-30,2016-12-31,129471,"Waste To Resource Fund","United Kingdom of Great Britain and Northern Ireland",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1523,4.17260273972603,1484000
"4",46270,2011-06-09,2014-04-30,129570,"Aga Khan University","Pakistan",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1056,2.89315068493151,1497757
"5",46271,2011-06-09,2014-06-30,129573,"Aga Khan University","Pakistan",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1117,3.06027397260274,407939
"6",46295,2011-05-20,2014-09-30,129645,"International Potato Center","Peru",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1229,3.36712328767123,6499991
"7",46296,2011-08-01,2014-08-31,129648,"International Livestock Research Institute (ILRI)","Kenya",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1126,3.08493150684932,2034600
"8",46300,2011-09-02,2014-09-30,129660,"International Crops Research Institute for the Semi-Arid Tropics","India",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1124,3.07945205479452,21000000
"9",46338,2011-04-01,2015-03-31,129774,"International Institute of Tropical Agriculture","United Kingdom of Great Britain and Northern Ireland",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1460,4,6759003
"10",46339,2011-11-01,2015-09-30,129777,"Catholic Relief Services","United States of America",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1429,3.91506849315068,4267000
"11",46340,2011-11-08,2015-10-31,129780,"Trustees of Purdue University","United States of America",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1453,3.98082191780822,4992837
"12",46353,2011-03-01,2014-07-31,129819,"Washington Congress of Parents & Teachers","United States of America",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1248,3.41917808219178,191424
"13",46405,2011-05-10,2013-05-30,129975,"International Institute of Tropical Agriculture","United Kingdom of Great Britain and Northern Ireland",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,751,2.05753424657534,1319661
"14",46511,2012-08-15,2014-12-31,130293,"Centros Tecnolu00c3u00b3gicos Comunitarios","Dominican Republic",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,868,2.37808219178082,1000000
"15",46522,2011-09-15,2015-09-30,130326,"SNV USA","United States of America",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1476,4.04383561643836,7586520
"16",46549,2011-04-12,2013-09-30,130407,"Trustees of Purdue University","United States of America",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,902,2.47123287671233,1099709
